species	class	family	frequency_bp
phydis	LINE	L1	315372620
phydis	LTR	ERVL	65372734
phydis	DNA	hAT	54509579
phydis	LINE	L2	33686315
phydis	LTR	ERV1	25902231
phydis	SINE	MIR	21717566
phydis	Simple_repeat	Simple_repeat	19610761
phydis	DNA	TcMar	19391537
phydis	LTR	ERV	9878925
phydis	SINE	tRNA	9323606
phydis	RC	Helitron	8475240
phydis	LTR	Gypsy	5046948
phydis	LTR	ERVK	4358107
phydis	LINE	CR1	3408444
phydis	LINE	RTE	2506123
phydis	LTR	LTR	1560564
phydis	DNA	DNA	1373088
phydis	DNA	CMC	1262942
phydis	Unknown	Unknown	786536
phydis	LTR	Copia	609883
phydis	DNA	MULE	497547
phydis	DNA	Harbinger	446612
phydis	DNA	PiggyBac	443644
phydis	Satellite	Satellite	397954
phydis	Structural_RNA	Structural_RNA	314223
phydis	SINE	tRNA-Alu	313229
phydis	DNA	Maverick	290018
phydis	DNA	Kolobok	275860
phydis	LINE	Penelope	247917
phydis	LTR	Pao	186696
phydis	DNA	P	104019
phydis	SINE	tRNA-RTE	88923
phydis	LTR	DIRS	85723
phydis	DNA	Dada	77736
phydis	SINE	5S	77720
phydis	LINE	Dong-R4	68482
phydis	LINE	R2	65549
phydis	DNA	Crypton	65073
phydis	LTR	Ngaro	60622
phydis	DNA	Merlin	55529
phydis	LINE	Jockey-I	52051
phydis	LINE	R1	44255
phydis	LINE	Rex-Babar	25839
phydis	SINE	Alu	20530
phydis	SINE	Deu	15404
phydis	LINE	CRE	13197
phydis	DNA	Ginger	10215
phydis	Retroposon	SVA	8685
phydis	LINE	LINE	7960
phydis	SINE	SINE	6307
phydis	LINE	Proto2	4572
phydis	SINE	7SL	4425
phydis	SINE	U	4047
phydis	DNA	Zator	3849
phydis	SINE	tRNA-CR1	2513
phydis	SINE	RTE	1737
phydis	SINE	tRNA-7SL	1126
phydis	Other	Other	760
phydis	SINE	tRNA-V	100
mymy	LINE	L1	276194610
mymy	RC	Helitron	143180535
mymy	DNA	hAT	69902588
mymy	LTR	ERVL	52898037
mymy	SINE	tRNA	47414007
mymy	LTR	ERV1	33889325
mymy	LINE	L2	30123679
mymy	Simple_repeat	Simple_repeat	25933121
mymy	SINE	MIR	20600672
mymy	DNA	TcMar	14805755
mymy	LTR	ERVK	7701779
mymy	LTR	ERV	6644329
mymy	LTR	Gypsy	4093455
mymy	LINE	CR1	3325966
mymy	LINE	RTE	2295745
mymy	DNA	DNA	2049534
mymy	DNA	PiggyBac	1802149
mymy	LTR	LTR	1420472
mymy	DNA	CMC	1139945
mymy	Unknown	Unknown	889169
mymy	LTR	Copia	578326
mymy	Satellite	Satellite	529330
mymy	DNA	MULE	472766
mymy	DNA	Harbinger	429852
mymy	DNA	Maverick	339539
mymy	Structural_RNA	Structural_RNA	309732
mymy	DNA	Kolobok	268911
mymy	LINE	Penelope	219618
mymy	LTR	Pao	203013
mymy	DNA	Dada	114613
mymy	SINE	tRNA-Alu	112311
mymy	DNA	P	95020
mymy	SINE	tRNA-RTE	91642
mymy	LTR	Ngaro	83926
mymy	LTR	DIRS	83765
mymy	LINE	Dong-R4	65586
mymy	SINE	5S	62571
mymy	LINE	R1	57499
mymy	DNA	Crypton	56551
mymy	LINE	R2	55425
mymy	LINE	Jockey-I	49934
mymy	DNA	Merlin	48464
mymy	LINE	Rex-Babar	38729
mymy	Retroposon	SVA	25248
mymy	SINE	Deu	17165
mymy	LINE	LINE	16317
mymy	LINE	CRE	14022
mymy	SINE	Alu	12335
mymy	DNA	Ginger	8976
mymy	SINE	SINE	6550
mymy	DNA	Zator	4232
mymy	SINE	U	3975
mymy	LINE	Proto2	3231
mymy	SINE	7SL	3081
mymy	SINE	tRNA-CR1	2556
mymy	Other	Other	1823
mymy	SINE	RTE	1402
mymy	SINE	tRNA-V	856
mymy	SINE	tRNA-7SL	560
drot	LINE	L1	299751547
drot	LTR	ERVL	68431679
drot	DNA	hAT	56574219
drot	LINE	L2	36827961
drot	SINE	MIR	23949574
drot	LTR	ERV1	23566961
drot	DNA	TcMar	19915837
drot	Simple_repeat	Simple_repeat	15521018
drot	LTR	ERV	9292855
drot	SINE	tRNA	9232389
drot	RC	Helitron	6407970
drot	LTR	Gypsy	5117598
drot	LINE	CR1	3744981
drot	LTR	ERVK	2814149
drot	LINE	RTE	2684571
drot	LTR	LTR	1705485
drot	DNA	DNA	1410968
drot	DNA	CMC	1240981
