name	start	end	strand	gene_type
ID=gene-IFNB1	61766381	61767037	1	exons
IFNO-LOC107518582	61785875	61786435	1	exons
IFNO-LOC107518585	61794833	61801218	1	exons
IFNA-LOC107518590	61813688	61814339	1	exons
IFNO-LOC107518587	61860085	61860654	1	exons
KLHL9	61874018	61878327	1	exons
IFNO-LOC107518592	61919827	61920384	1	exons
IFNO-LOC107508426	61949135	61949712	1	exons
IFNA-LOC107518588	61958119	61958676	1	exons
GAP	61966730	62113238	1	exons
IFNO-LOC107518583	62114007	62114588	1	exons
IFNO-LOC118600392	62119164	62120956	1	exons
IFNA-LOC107511568	62125264	62125870	1	exons
ID=gene-IFNE	62142714	62156918	1	exons
