name	start	end	strand	gene_type
IFNB1	21077869	21077306	1	exons
IFNW1	21141570	21140983	1	exons
IFNA21	21166612	21166043	1	exons
IFNA4	21187531	21186962	1	exons
IFNA7	21202165	21201596	1	exons
IFNA10	21207097	21206528	1	exons
IFNA16	21217305	21216736	1	exons
IFNA17	21228173	21227604	1	exons
IFNA14	21239935	21239366	1	exons
IFNA5	21305256	21304687	1	exons
KLHL9	21333006	21334859	1	exons
IFNA6	21350887	21350318	1	exons
IFNA13	21368010	21367438	1	exons
IFNA2	21385329	21384763	1	exons
IFNA8	21409746	21409177	1	exons
IFNA1	21441077	21440508	1	exons
IFNE	21481694	21481068	1	exons
IFNK	27524960	27524337	1	exons
