Gene__Species	KRAB	SSXRD	SET
NP_001363829.1__hg	1	1	1
NP_001091643.1__hg	1	1	1
XP_036016343.1__mm	1	1	1
XP_023493360.1__ecab	1	1	1
XP_020951432.1__sscrofa	1	1	1
LOC04946_x1__HLrouAeg4	1	1	1
XP_015447291.1__palec	1	1	0
XP_024905218.1__palec	0	1	0
XP_015448625.1__palec	1	1	1
XP_008159318.2__efus	0	1	1
PRDM9_x2__HLmolMol2	1	1	1
PRDM9_x1__HLpipKuh2	1	1	1
XP_016071315.1__mnat	1	1	1
XP_016075774.1__mnat	0	0	0
XP_014399016.1__mybra	0	1	1
XP_014401729.1__mybra	0	0	1
XP_015414931.1__mydav	0	1	1
XP_015415920.1__mydav	0	1	0
XP_023600472.1__myluc	0	1	1
XP_006108588.1__myluc	0	1	1
XP_014306302.1__myluc	0	1	0
PRDM7B_x1__HLmyoMyo6	0	1	1
evm.model.contig_199.17__meso	1	1	1
evm.model.contig_202.2__meso	0	1	1
XP_024415310.1__drot	0	1	1
XP_024415259.1__drot	0	1	1
XP_024407289.1__drot	0	1	1
XP_024413311.1__drot	0	1	1
XP_024426224.1__drot	1	1	1
XP_024429265.1__drot	1	1	0
XP_024429514.1__drot	0	0	0
LOC00558_x3__HLphyDis3	0	0	0
PRDM9B_x7__HLphyDis3	0	1	1
LOC01780_x2__HLphyDis3	1	1	1
PRDM9L2_x1__HLphyDis3	0	0	0
PRDM9L4_x1__HLphyDis3	0	0	1
PRDM9F_x1__HLphyDis3	0	1	1
PRDM9L_x1__HLphyDis3	0	0	0
PRDM9L3_x1__HLphyDis3	0	0	1
PRDM9_x4__HLphyDis3	0	1	1
PRDM9E_x3__HLphyDis3	0	1	1
PRDM9G_x1__HLphyDis3	0	1	1
LOC04481_x1__HLphyDis3	0	0	0
LOC04482_x2__HLphyDis3	0	1	1
PRDM9C_x11__HLphyDis3	0	1	0
PRDM9H_x1__HLphyDis3	0	1	1
rna-XM_037048534.1__shondurensis	0	1	1
rna-XM_037048662.1__shondurensis	0	0	0
rna-XM_037049954.1__shondurensis	0	1	1
rna-XM_037063525.1__shondurensis	0	1	1
rna-XM_037063557.1__shondurensis	0	1	0
rna-XM_037031441.1__shondurensis	0	1	1
rna-XM_037036261.1__shondurensis	0	1	1
rna-XM_037046959.1__shondurensis	0	1	1
rna-XM_037046900.1__shondurensis	0	1	1
rna-XM_037046958.1__shondurensis	0	1	1
rna-XM_037048750.1__shondurensis	0	0	0
rna-XM_037048753.1__shondurensis	0	1	1
rna-XM_037048971.1__shondurensis	0	0	0
rna-XM_037048843.1__shondurensis	0	1	1
rna-XM_037049920.1__shondurensis	0	1	1
rna-XM_037051118.1__shondurensis	0	1	1
rna-XM_037051292.1__shondurensis	1	1	1
rna-XM_037051280.1__shondurensis	0	1	1
rna-XM_037052593.1__shondurensis	0	1	0
rna-XM_037053410.1__shondurensis	0	1	0
rna-XM_037057724.1__shondurensis	0	1	1
rna-XM_037057994.1__shondurensis	0	1	0
rna-XM_037058084.1__shondurensis	0	0	1
rna-XM_037058199.1__shondurensis	0	1	1
rna-XM_037060152.1__shondurensis	0	1	0
rna-XM_037060896.1__shondurensis	0	0	1
rna-XM_037060893.1__shondurensis	0	0	0
rna-XM_037066308.1__shondurensis	1	1	1
rna-XM_037069572.1__shondurensis	0	1	1
rna-XM_037070488.1__shondurensis	0	1	1
rna-XM_037028464.1__shondurensis	0	1	1
rna-XM_037033099.1__shondurensis	0	0	0
rna-XM_037033102.1__shondurensis	0	0	0
rna-XM_037033063.1__shondurensis	0	0	0
rna-XM_037033103.1__shondurensis	0	1	1
rna-XM_037033065.1__shondurensis	0	0	1
rna-XM_037035286.1__shondurensis	1	1	0
rna-XM_037036665.1__shondurensis	0	1	1
rna-XM_037037853.1__shondurensis	0	1	1
evm.model.contig_1582.34__jam	0	0	0
evm.model.contig_233.1__jam	1	1	1
evm.model.contig_233.2__jam	0	1	1
evm.model.contig_2793.1__jam	0	1	1
evm.model.contig_3056.1__jam	0	1	0
evm.model.contig_3104.1__jam	0	1	0
evm.model.contig_354.338__jam	1	1	1
evm.model.contig_432.1__jam	0	0	0
evm.model.contig_432.2__jam	0	0	0
evm.model.contig_432.3__jam	1	1	1
evm.model.contig_432.5__jam	0	1	1
evm.model.contig_444.2__jam	0	1	1
evm.model.contig_444.3__jam	0	1	1
evm.model.contig_465.1__jam	0	1	1
evm.model.contig_471.5__jam	0	1	1
evm.model.contig_471.7__jam	0	1	1
evm.model.contig_471.9__jam	0	1	1
