name	start	end	strand	gene_type
gene-IFNE	147238348	147242091	1	exons
IFNA-LOC114503306	147266728	147267294	1	exons
IFNO-LOC114509253	147280674	147281420	1	exons
GAP	147294090	147358590	1	exons
IFNO-LOC114508694	147372059	147372628	1	exons
IFNA-LOC114502773	147382750	147383397	1	exons
IFNO-LOC114507612	147399792	147400619	1	exons
IFNO-LOC114511668	147423906	147424475	1	exons
IFNA-LOC114502765	147432699	147433535	1	exons
KLHL9	147491215	147495648	1	exons
IFNA-LOC114490854	147501701	147503677	1	exons
gene-IFNB1	147542927	147543661	1	exons
