name 	start	end	strand	gene_type
IFN_epsilon_transcript_variant_X1_NC_010443.5	201219848	201228361	1	exons
IFN_omega_1_NC_010443.5	201246072	201246611	-1	exons
IFN_alpha-1-like_NC_010443.5	201261017	201262150	-1	exons
IFN_alpha-2_NC_010443.5	201272569	201273114	-1	exons
IFN-delta-8_NC_010443.5	201277798	201278301	-1	exons
IFN-alpha-1_NC_010443.5	201290138	201290683	-1	exons
IFN_omega_7_NC_010443.5	201316989	201317561	-1	exons
IFN-alpha-17_NC_010443.5	201321905	201322450	-1	exons
IFN_omega_4_NC_010443.5	201334366	201334938	-1	exons
IFN-delta-6_NC_010443.5	201342788	201343342	-1	exons
IFN-alpha-10_NC_010443.5	201353877	201354422	-1	exons
IFN_omega_3_NC_010443.5	201369656	201370228	-1	exons
IFN-delta-3_NC_010443.5	201382698	201383213	-1	exons
IFN-alpha-8_NC_010443.5	201391451	201392020	-1	exons
IFN-alpha-9_NC_010443.5	201407647	201408216	-1	exons
IFN-delta-5_NC_010443.5	201412274	201412828	-1	exons
IFN_alpha-11_NC_010443.5	201456457	201457002	-1	exons
IFN-delta-2_NC_010443.5	201495440	201496375	-1	exons
IFN_alpha_1_NC_010443.5	201515835	201516477	-1	exons
IFN_alpha_5_NC_010443.5	201535293	201535862	-1	exons
IFN_delta_7_NC_010443.5	201539997	201540458	-1	exons
kelch_like_family_member_9_NC_010443.5	201587241	201591830	-1	exons
IFN-alpha-4_NC_010443.5	201616020	201616589	1	exons
IFN-omega-2_NC_010443.5	201623473	201624003	1	exons
IFN-delta-1_NC_010443.5	201654500	201655595	1	exons
IFN-delta-9_NC_010443.5	201673749	201674303	1	exons
IFN-alpha-16_NC_010443.5	201678376	201678945	1	exons
IFN-alpha-15_NC_010443.5	201694271	201694837	1	exons
IFN-delta-10_NC_010443.5	201702826	201703341	1	exons
IFN_omega_6_NC_010443.5	201715465	201716037	1	exons
IFN-delta-11_NC_010443.5	201732103	201732657	1	exons
IFN_alpha-14_NC_010443.5	201736733	201737300	1	exons
IFN-alpha-14_NC_010443.5	201749695	201750264	1	exons
IFN-delta-4_NC_010443.5	201757617	201758132	1	exons
IFN-alpha-13_NC_010443.5	201770996	201771565	1	exons
IFN_omega_7_NC_010443.5	201781339	201781911	1	exons
IFN_alpha-17-like_NC_010443.5	201804879	201805389	1	exons
IFN-alphaomega_NC_010443.5	201831741	201832298	1	exons
IFN_beta_1_NC_010443.5	201850935	201851495	1	exons
