name	start	end	strand	gene_type
interferon_beta_1::NW_023560061.1:1698-2429	1699	2429	1	exons
interferon_omega-2-like::NW_023561320.1:1239-1664	167312	167736	1	exons
kelch_like_family_member_9::NW_023561320.1:44388-48781	210461	214853	1	exons
interferon_alpha-4-like::NW_023561320.1:58347-58937	224420	225009	1	exons
interferon_alpha-4-like::NW_023550340.1:1343-1912	252323	252891	1	exons
interferon_omega-2-like::NW_023550340.1:15338-15907	266318	266886	1	exons
interferon_omega-2-like::NW_023550340.1:33240-33991	284220	284970	1	exons
interferon_epsilon::NW_023565373.1:197607-198184	505199	505775	1	exons
interferon_alpha-4-like::NW_023565373.1:218367-218936	525959	526527	1	exons
NW_023560061.1	1	166072	1	exons
NW_023561320.1	166072	250979	1	exons
NW_023550340.1	250979	307591	1	exons
NW_023565373.1	307591	535636	1	exons
