name 	start	end	strand	gene_type
NC_051822.1_IFITM5	25978345	25979491	1	exons
NC_051822_IFITM1-like	25986404	25988262	1	exons
NC_051822_IFITM1-like	25988848	25989946	1	exons
NC_051822_IFITM1-like	26011695	26012832	1	exons
NC_051822_IFITM1-like	26020842	26021930	1	exons
NC_051822_IFITM1-like	26043540	26044660	1	exons
NC_051822_IFITM1-like	26045986	26047055	1	exons
NC_051822_IFITM1-like	26068903	26070152	1	exons
NC_051822_IFITM1-like	26071432	26072733	1	exons
NC_051822_IFITM1-like	26078256	26079310	1	exons
NC_051822_IFITM10	46680085	46689944	1	exons
