name@	start	end	strand	gene_type
NC_040908.2__IFITM10	170608691	170620679	1	exons
NC_040908.2__IFITM3-like	171432975	171434176	1	exons
NC_040908.2__IFITM2-like	171437538	171439895	1	exons
NC_040908.2__IFITM2-like	171441266	171442257	1	exons
NC_040908.2__IFITM3-like	171467143	171468047	1	exons
NC_040908.2__IFITM3-like	171479912	171489259	1	exons
NC_040908.2__IFITM2-like	171496771	171497698	1	exons
NC_040908.2__IFITM3-like	171499304	171505763	1	exons
NC_040908.2__IFITM2-like	171573521	171574655	1	exons
NC_040908.2__IFITM3-like	171577200	171578482	1	exons
NC_040908.2__IFITM1-like	171594348	171595490	1	exons
NC_040908.2__IFITM5	171596935	171598164	1	exons
