name 	start	end	strand	gene_type
IFNB_NC_051815.1	41610249	41610809	-1	exons
IFNA_NC_051815.1	41642248	41642790	-1	exons
IFNA_NC_051815.1	41671573	41672136	-1	exons
IFNA_NC_051815.1	41680722	41681524	-1	exons
IFNA_NC_051815.1	41691495	41692150	-1	exons
IFNA_NC_051815.1	41702413	41703235	-1	exons
IFNA_NC_051815.1	41706071	41706896	-1	exons
IFNA_NC_051815.1	41709824	41710557	-1	exons
KLHL9_NC_051815.1	41735006	41739198	1	exons
IFNA_NC_051815.1	41759401	41760078	1	exons
IFNA_NC_051815.1	41763076	41763651	1	exons
IFNA_NC_051815.1	41793189	41793542	1	exons
IFNA_NC_051815.1	41796532	41797391	1	exons
IFNA_NC_051815.1	41805158	41805721	1	exons
IFNE_NC_051815.1	41818693	41823034	-1	exons
